date,open,high,low,close,volume
2025-01-02,150341.5343595823,150431.73928019803,149183.1353417852,149272.69896116192,13965.318
2025-01-03,149272.69896116192,149362.2625805386,146935.84127863322,147024.05571206045,12678.6266
2025-01-06,147024.05571206045,147112.27014548768,142822.23906283567,142907.98385314757,10586.3337
2025-01-07,142907.98385314757,142993.72864345944,139299.9274006283,139383.55753514942,10766.3721
2025-01-08,139383.55753514942,139467.1876696705,137792.13717619458,137874.86209345065,12429.6603
2025-01-09,137874.86209345065,137957.58701070672,135125.53170147148,135206.6556948884,11119.2798
2025-01-10,135206.6556948884,135287.77968830534,133088.836788754,133168.73803157295,11482.7479
2025-01-13,133168.73803157295,133248.6392743919,129437.92707191581,129515.63645378809,9663.7722
2025-01-14,129515.63645378809,130149.12104932501,129437.92707191581,130071.07840228365,13507.0056
2025-01-15,130071.07840228365,130149.12104932501,128874.89514139429,128952.26650129507,11888.2959
2025-01-16,128952.26650129507,129029.63786119585,128717.78995477073,128795.06699496772,12738.0271
2025-01-17,128795.06699496772,128872.3440351647,127194.53942931321,127270.90197049551,11355.3417
2025-01-20,127270.90197049551,127347.2645116778,126297.26763227124,126373.09148716355,11829.2797
2025-01-21,126373.09148716355,126448.91534205584,125712.68455068163,125788.15744514872,12052.3751
2025-01-22,125788.15744514872,125863.6303396158,124493.15154402546,124567.8922793931,11358.5506
2025-01-23,124567.8922793931,125739.34644556278,124493.15154402546,125663.94807671676,13552.845
2025-01-24,125663.94807671676,125739.34644556278,125242.52899349133,125317.7196252665,12220.1664
2025-01-27,125317.7196252665,125392.91025704166,123890.29551904181,123964.674323636,11178.7267
2025-02-05,123964.674323636,124538.40788063797,123890.29551904181,124463.72964285227,12895.5228
2025-02-06,124463.72964285227,127447.38524798647,124389.05140506655,127370.96267038425,15353.606
2025-02-07,127370.96267038425,134316.8583033863,127294.54009278202,134236.31651347823,19602.4501
2025-02-10,134236.31651347823,138203.79665929702,134155.77472357015,138120.92410483412,17308.2392
2025-02-11,138120.92410483412,140752.7092958044,138038.05155037122,140668.30831081793,16359.4766
2025-02-12,140668.30831081793,143459.65228626836,140583.90732583142,143373.62810940272,16772.1506
2025-02-13,143373.62810940272,147322.539922064,143287.60393253708,147234.19940242256,18197.9341
2025-02-14,147234.19940242256,149750.61065058454,147145.8588827811,149660.8141620873,17150.0347
2025-02-17,149660.8141620873,154201.94228457782,149571.01767359005,154109.47659861867,19414.7439
2025-02-18,154109.47659861867,156783.6471494892,154017.0109126595,156689.63336946754,17991.1044
2025-02-19,156689.63336946754,158325.80477287094,156595.61958944585,158230.86625311908,17210.1962
2025-02-20,158230.86625311908,160069.64541141526,158135.9277333672,159973.66121468646,17565.8816
2025-02-21,159973.66121468646,166001.90965666674,159877.67701795764,165902.36823572533,21926.0731
2025-02-24,165902.36823572533,170219.028811983,165802.82681478388,170116.95863680093,20804.8272
2025-02-25,170116.95863680093,172176.12653623425,170014.88846161886,172072.88280655033,18967.62
2025-02-26,172072.88280655033,174353.5919650364,171969.63907686638,174249.0425395127,19383.448
2025-02-27,174249.0425395127,176976.11025818967,174144.49311398898,176869.98826523055,20045.85
2025-02-28,176869.98826523055,177959.93965899028,176763.8662722714,177853.22772235688,18670.2383
2025-03-03,177853.22772235688,177959.93965899028,176208.87920222356,176314.66800302538,16246.7631
2025-03-04,176314.66800302538,176420.45680382717,172935.1584279781,173038.98181706836,14355.7806
2025-03-05,173038.98181706836,173142.80520615858,170570.8261655196,170673.23010358177,14938.1465
2025-03-06,170673.23010358177,172774.07768032255,170570.8261655196,172670.4753950855,19064.5683
2025-03-07,172670.4753950855,173689.97421578012,172566.87310984844,173585.82272214684,18182.3949
2025-03-10,173585.82272214684,173689.97421578012,171181.06910091953,171283.83940456228,15056.599
2025-03-11,171283.83940456228,171386.609708205,168873.0278364657,168974.41248395608,14818.957
2025-03-12,168974.41248395608,169075.79713144645,168813.18078109907,168914.52949879837,16837.5583
2025-03-13,168914.52949879837,169015.87821649763,167989.50593595204,168090.3601520433,16067.2836
2025-03-14,168090.3601520433,169301.04725002038,167989.50593595204,169199.52753350028,17918.2034
2025-03-17,169199.52753350028,169301.04725002038,167908.8209888174,168009.62676487633,15730.052
2025-03-18,168009.62676487633,168110.43254093526,166305.70280709345,166405.5461347743,15196.882
2025-03-19,166405.5461347743,166505.38946245518,164330.75898700778,164429.41663698998,14664.4251
2025-03-20,164429.41663698998,164528.07428697217,162304.56169054974,162402.00289228512,14415.5279
2025-03-21,162402.00289228512,162499.44409402047,161573.36361015684,161670.36582965465,15508.5632
2025-03-24,161670.36582965465,161767.36804915243,159914.71624320687,160010.72267681296,14507.3934
2025-03-25,160010.72267681296,160106.72911041905,156498.3914433831,156592.346851494,12582.6964
2025-03-26,156592.346851494,156686.30225960488,152384.67979159649,152476.16549089103,11543.0533
2025-03-27,152476.16549089103,152567.65119018554,149045.962777506,149135.44404393237,11906.8951
2025-03-28,149135.44404393237,149224.92531035873,145324.39620276343,145411.64318867665,11189.7435
2025-03-31,145411.64318867665,145498.89017458985,142999.92745891018,143085.77892626595,12215.3001
2025-04-01,143085.77892626595,143171.6303936217,140015.80632808796,140099.86624783668,11322.6652
2025-04-02,140099.86624783668,140183.92616758536,135753.3049991141,135834.8058826437,9744.9263
2025-04-03,135834.8058826437,135916.30676617328,133547.3522746451,133627.52879192025,11376.2035
2025-04-07,133627.52879192025,136224.4519968425,133547.3522746451,136142.76633704026,15877.9904
2025-04-08,136142.76633704026,138868.1925748149,136061.08067723803,138784.9216218418,16256.4319
2025-04-09,138784.9216218418,141987.62228444012,138701.65066886868,141902.48079596256,16996.0513
2025-04-10,141902.48079596256,143893.1956595162,141817.33930748497,143806.91151260864,16094.6788
2025-04-11,143806.91151260864,143893.1956595162,142827.12683751903,142912.8745622564,13486.6542
2025-04-14,142912.8745622564,142998.62228699372,141311.48610217863,141396.32389651655,12774.7368
2025-04-15,141396.32389651655,141481.16169085444,137945.81261234183,138028.62979021596,10771.9383
2025-04-16,138028.62979021596,138111.44696809008,135263.60127652448,135344.80816142133,11119.0414
2025-04-17,135344.80816142133,135426.01504631818,131725.79641697093,131804.8793445777,9994.552
2025-04-18,131804.8793445777,131883.96227218444,127694.28858509102,127770.9511557845,9146.5597
2025-04-21,127770.9511557845,127847.61372647795,125332.6563424253,125407.90108307515,10414.045
2025-04-22,125407.90108307515,125483.14582372499,123692.87197878736,123767.13225814224,10900.0213
2025-04-23,123767.13225814224,123841.39253749711,123613.35120908447,123687.56374733288,12297.1447
2025-04-24,123687.56374733288,123761.77628558128,122335.55318549105,122408.99858464184,11090.1912
2025-04-25,122408.99858464184,122482.44398379262,121230.98729398043,121303.76955571386,11135.6708
2025-04-28,121303.76955571386,121376.55181744728,119665.61767537626,119737.46015146714,10564.0676
2025-04-29,119737.46015146714,119809.302627558,117914.12462511074,117984.91557445542,10221.2014
2025-04-30,117984.91557445542,118055.70652380008,117809.12091794737,117879.84882724372,11693.4248
2025-05-06,117879.84882724372,119525.44872351967,117809.12091794737,119453.77645764509,13361.9125
2025-05-07,119453.77645764509,122265.04869990196,119382.1041917705,122191.73365970615,14683.3348
2025-05-08,122191.73365970615,122980.32753144675,122118.41861951032,122906.58358129798,12934.0233
2025-05-09,122906.58358129798,122980.32753144675,122462.62785788278,122536.14954761135,11920.2243
2025-05-12,122536.14954761135,123440.76491126181,122462.62785788278,123366.74486434321,13084.2103
2025-05-13,123366.74486434321,124019.93927990437,123292.7248174246,123945.57193674233,12915.5016
2025-05-14,123945.57193674233,124793.30710178445,123871.20459358027,124718.47601617475,13167.4613
2025-05-15,124718.47601617475,124793.30710178445,123696.41893110577,123770.68133990972,11524.0529
2025-05-16,123770.68133990972,123844.94374871366,122215.6708708867,122289.04429746518,10895.4311
2025-05-19,122289.04429746518,122362.41772404365,120852.31799964533,120924.87292339937,10864.7331
2025-05-20,120924.87292339937,120997.42784715339,120457.09426703668,120529.4119141852,11697.0263
2025-05-21,120529.4119141852,120601.7295613337,120139.12240456477,120211.24915405721,11734.7784
2025-05-22,120211.24915405721,120283.37590354963,119145.49066852048,119217.02088104912,11026.8966
2025-05-23,119217.02088104912,119288.55109357774,118779.89999024544,118851.21071667544,11555.8919
2025-05-26,118851.21071667544,118922.52144310543,116995.45387076131,117065.69328673335,10099.6036
2025-05-27,117065.69328673335,117135.93270270538,115279.17628706788,115348.38531825884,9989.2614
2025-05-28,115348.38531825884,115417.59434944978,113844.70359785504,113913.05142871228,10099.5046
2025-05-29,113913.05142871228,114444.59170879712,113844.70359785504,114375.96612911965,11854.2198
2025-05-30,114375.96612911965,114444.59170879712,114261.55755327015,114330.15564665815,11391.7861
2025-06-03,114330.15564665815,114398.75374004614,114242.64547053416,114311.23220986009,11414.0921
2025-06-04,114311.23220986009,114479.2284476024,114242.64547053416,114410.58209834341,11530.4731
2025-06-05,114410.58209834341,115943.09846471099,114341.9357490844,115873.57432011892,12904.0504
2025-06-06,115873.57432011892,115943.09846471099,115736.92395296873,115806.40779764732,11520.1909
2025-06-09,115806.40779764732,117160.1343967323,115736.92395296873,117089.88046845124,12864.1135
2025-06-10,117089.88046845124,119606.3406444954,117019.62654017017,119534.61987257187,14153.7275
2025-06-11,119534.61987257187,120207.91133175715,119462.89910064833,120135.82983385684,12554.6719
2025-06-12,120135.82983385684,120912.60081765013,120063.74833595652,120840.09675959438,12717.8499
2025-06-13,120840.09675959438,123502.59523610206,120767.59270153861,123428.53811323413,14672.451
2025-06-16,123428.53811323413,123502.59523610206,123162.62207242228,123236.56401082878,12150.8797
2025-06-17,123236.56401082878,123310.50594923526,122911.335255841,122985.12633163999,12072.2187
2025-06-18,122985.12633163999,123058.91740743896,122523.9321160541,122597.49061042035,11910.8769
2025-06-19,122597.49061042035,122917.82494669947,122523.9321160541,122844.11847561412,12506.3769
2025-06-20,122844.11847561412,122917.82494669947,121164.34489792548,121237.08715021561,10677.3805
2025-06-23,121237.08715021561,121309.82940250573,120267.46771479218,120339.67151770281,11226.2931
2025-06-24,120339.67151770281,122525.31370144204,120267.46771479218,122451.84259588452,14146.1382
2025-06-25,122451.84259588452,126310.28456913575,122378.37149032699,126234.54384283005,16027.8855
2025-06-26,126234.54384283005,129520.53565627897,126158.80311652434,129442.86993431838,15831.7805
2025-06-27,129442.86993431838,131988.89662508477,129365.20421235778,131909.75077462,15411.1678
2025-06-30,131909.75077462,133667.7733888549,131830.60492415522,133587.6208163651,14868.8451
2025-07-01,133587.6208163651,134970.15024108608,133507.46824387525,134889.21671105945,14660.358
2025-07-02,134889.21671105945,135251.20356491813,134808.2831810328,135170.10150401574,13769.8065
2025-07-03,135170.10150401574,135251.20356491813,134669.8041688253,134750.65456156223,13097.5632
2025-07-04,134750.65456156223,135642.50111014437,134669.8041688253,135561.16441149748,14285.5753
2025-07-07,135561.16441149748,135642.50111014437,134011.09447482464,134091.54940446734,12086.5014
2025-07-08,134091.54940446734,135303.01855697465,134011.09447482464,135221.88542571923,14539.491
2025-07-09,135221.88542571923,136833.61749615255,135140.7522944638,136751.56655621884,15051.8697
2025-07-10,136751.56655621884,138100.91811657776,136669.5156162851,138018.10725222641,14941.6974
2025-07-11,138018.10725222641,141422.42753977297,137935.29638787507,141337.6249647941,17121.3284
2025-07-14,141337.6249647941,141876.446439275,141252.8223898152,141791.37161630523,14587.5091
2025-07-15,141791.37161630523,143819.10828230908,141706.29679333544,143732.8685611724,16120.6341
2025-07-16,143732.8685611724,143866.27695023004,143646.62884003567,143780.00894486313,14420.4272
2025-07-17,143780.00894486313,144882.63331268358,143693.7409394962,144795.7558591681,15393.7478
2025-07-18,144795.7558591681,146114.3440088269,144708.8784056526,146026.7279720437,15710.5477
2025-07-21,146026.7279720437,148512.91144988957,145939.11193526047,148423.8571356082,16999.802
2025-07-22,148423.8571356082,152603.36141158387,148334.80282132683,152511.85429900448,18930.3829
2025-07-23,152511.85429900448,156000.21078894075,152420.34718642506,155906.66678886744,18645.9979
2025-07-24,155906.66678886744,158858.31510420615,155813.1227887941,158763.05726984426,18447.0572
2025-07-25,158763.05726984426,160856.57537746461,158667.79943548233,160760.1193058811,17873.3678
2025-07-28,160760.1193058811,162204.4445358179,160663.66323429756,162107.1802276813,17423.0729
2025-07-29,162107.1802276813,164026.52507549588,162009.91591954467,163928.16817459115,18031.706
2025-07-30,163928.16817459115,166077.7331116638,163829.81127368638,165978.14622392945,18442.7949
2025-07-31,165978.14622392945,168841.9295490954,165878.5593361951,168740.6851380126,19360.3535
2025-08-01,168740.6851380126,168841.9295490954,167749.4119030954,167850.12197628117,15983.5054
2025-08-04,167850.12197628117,167950.83204946693,165950.98052508192,166050.6108916169,14985.5011
2025-08-05,166050.6108916169,166150.24125815186,165307.11473459404,165406.3585497239,15960.8087
2025-08-06,165406.3585497239,166306.12710154857,165307.11473459404,166206.40325959283,17340.6806
2025-08-07,166206.40325959283,167941.36237533356,166106.67941763706,167840.65798054525,18254.895
2025-08-08,167840.65798054525,168259.7539798966,167739.9535857569,168158.8586646978,17102.2665
2025-08-11,168158.8586646978,169714.47021028041,168057.96334949895,169612.7025887272,18269.7298
2025-08-12,169612.7025887272,171569.51269231155,169510.93496717396,171466.63271268396,18815.2004
2025-08-13,171466.63271268396,175934.83342161693,171363.75273305635,175829.33582012486,21509.3664
2025-08-14,175829.33582012486,181147.11471011472,175723.8382186328,181038.49161514564,22792.0894
2025-08-15,181038.49161514564,185491.99062872105,180929.86852017653,185380.7621714182,22446.1197
2025-08-18,185380.7621714182,194601.007078646,185269.53371411533,194484.31648875278,27641.6305
2025-08-19,194484.31648875278,201040.12600028294,194367.62589885952,200919.5742557295,25883.6894
2025-08-20,200919.5742557295,205032.90392240783,200799.02251117607,204909.95794763925,24082.3411
2025-08-21,204909.95794763925,208784.7255078563,204787.01197287065,208659.5297899823,24240.5676
